기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2018,3,A,골목상권,1001007,천호대로219길,167369,101194,66173,21627,22971,25465,33755,42181,21374,8656,37887,40059,31772,36064,12930,26337,26712,25961,27824,27654,18032,14844
2018,3,A,골목상권,1000948,백제고분로34길,931106,503323,427781,32602,207694,229244,176808,164649,120112,191677,192192,145675,131817,163137,106603,131520,132130,133157,133317,135982,134276,130729
2018,1,A,골목상권,1000011,숭인동길,2337131,1281111,1056024,108727,560297,432760,402064,456757,376522,312028,429737,471565,440005,461281,222521,330163,339816,342030,327072,359125,315654,323270
2018,1,A,골목상권,1000012,옥인길,793551,332439,461113,94650,197080,176137,148533,107991,69169,104126,133053,157313,152630,170091,76335,115600,122385,123507,100627,101869,118014,111557
2018,1,A,골목상권,1000013,율곡로10길,1117729,654467,463261,22818,386434,226305,178254,158694,145224,108243,131845,205134,237691,305976,128839,152531,162407,166975,157279,169766,178995,129777
2018,1,A,골목상권,1000023,창신5길,1832223,946925,885295,90297,334747,303910,347578,429340,326353,303642,332000,300832,301593,386593,207557,261161,263743,267960,257000,266905,261572,253894
2018,1,A,골목상권,1000024,창신길,1125433,590089,535343,52621,231585,179682,210347,266404,184783,214955,213018,169374,169845,225719,132537,157119,156950,160596,155662,160330,164696,170075
2018,1,A,골목상권,1000035,동호로11길,1333908,688837,645072,80866,346398,290347,223448,204237,188626,174029,210972,242784,233347,313913,158863,197494,202224,201771,190310,198192,177092,166839
2018,1,A,골목상권,1000036,동호로15길,2123987,1092426,1031559,130203,569243,460083,360007,321479,282977,270278,326816,383825,370081,513293,259693,312898,325208,322767,301505,318392,278368,264868
2018,1,A,골목상권,1000059,서빙고로71길,262072,147845,114227,17965,56903,51808,62033,42836,30525,36904,55839,49357,44549,49517,25899,38701,39227,39253,36626,38313,34643,35300
2018,1,A,골목상권,1000060,소월로20길,764018,381473,382549,39970,239659,221459,116882,77798,68256,138023,137928,111073,114645,161466,100885,98855,98125,103484,101321,107485,121875,132882
2018,1,A,골목상권,1000061,신흥로20길,654180,330865,323318,32312,182433,169883,109320,82954,77271,125962,129587,101972,100032,123569,73057,88729,88255,91464,88787,91926,95323,109692
2018,1,A,골목상권,1000025,통일로12길,1661874,767816,894059,171155,280367,286969,357766,275014,290604,381553,353112,226933,218360,280764,201150,253735,253603,256854,185132,180790,254764,276987
2018,1,A,골목상권,1000071,이태원로54길,1364257,683422,680833,30583,530731,399114,208514,118634,76687,230649,184671,214576,234643,319127,180592,167041,174370,180304,176567,204742,247024,214219
2018,1,A,골목상권,1000072,장문로45길,1233478,682081,551399,44934,392873,301944,207812,156340,129584,273809,227087,174683,169434,230690,157783,171080,165494,167543,166129,175613,188446,199175
